Lat,Long,radius_default,radius_small,radius_rural
39.8988923,-76.6313617,5,10,20
39.840173,-105.0820237,5,10,20
39.3118414,-84.3776182,5,10,20
41.0071789,-78.4522153,5,10,20
29.7543469,-95.6049844,5,10,20
43.7286988,-87.8111594,5,10,20
28.5233478,-81.3460374,5,10,20
42.5342429,-96.3912248,5,10,20
44.8467928,-123.2288491,5,10,20
44.8884986,-123.0323587,5,10,20
40.5299994,-79.5960292,5,10,20
35.6041125,-105.2265541,5,10,20
42.2200563,-85.8703823,5,10,20
43.1263559,-75.2366295,5,10,20
34.256854,-84.483646,5,10,20
39.8979643,-75.3108867,5,10,20
32.2599461,-110.8011398,5,10,20
21.379477,-157.9318676,5,10,20
41.8517659,-88.2917285,5,10,20
34.8747765,-82.3300558,5,10,20
34.4827199,-84.9473661,5,10,20
35.8642295,-78.5755778,5,10,20
33.2468739,-84.2650396,5,10,20
39.92138,-83.773316,5,10,20
36.10942,-115.261745,5,10,20
32.3806536,-86.1632698,5,10,20
42.1181533,-79.1985941,5,10,20
40.7396102,-84.1241208,5,10,20
38.7300208,-121.2571095,5,10,20
36.7957398,-121.6683208,5,10,20
32.3291814,-111.0467509,5,10,20
39.7866255,-105.1088547,5,10,20
43.0901108,-86.2226683,5,10,20
30.3419118,-94.1698649,5,10,20
26.630773,-80.1443512,5,10,20
37.7219634,-122.153781,5,10,20
45.9777087,-94.361833,5,10,20
43.0296468,-108.3809449,5,10,20
41.128098,-81.608798,5,10,20
34.184322,-118.8746536,5,10,20
40.9982179,-76.4537475,5,10,20
38.6663489,-121.2745004,5,10,20
40.5878942,-74.5035497,5,10,20
42.280867,-83.782129,5,10,20
38.2788474,-77.2112346,5,10,20
42.3684185,-88.1280409,5,10,20
45.6649999,-122.636108,5,10,20
41.3152478,-74.1662776,5,10,20
41.8832243,-87.9408713,5,10,20
41.5752347,-90.544083,5,10,20
42.4655739,-82.931504,5,10,20
35.9645873,-78.9565039,5,10,20
38.7228581,-120.8313279,5,10,20
42.80367,-77.8267499,5,10,20
45.7021513,-121.5239736,5,10,20
46.7203274,-92.099085,5,10,20
40.6802745,-82.5714457,5,10,20
48.2113156,-101.2950102,5,10,20
35.7556445,-81.335742,5,10,20
46.8053964,-92.1696155,5,10,20
45.7670186,-108.5757918,5,10,20
43.6188259,-116.3690646,5,10,20
41.1144815,-73.7699747,5,10,20
33.985386,-118.4244834,5,10,20
32.485413,-86.411937,5,10,20
33.7081509,-116.2662627,5,10,20
33.3487871,-111.822514,5,10,20
